algorithm,n,wmax,capacity,seed,family,repetition,profit,elapsed_ms,peak_states,trace_nodes,matrix_queries,singleton_calls,colorings,process_peak_rss_kib,capacity_percent,forced_duplicate_percent,max_weight_items
dp,200,32,347,42,correlated,0,2075,0.298,0,0,0,0,0,3920,10,0,6
dp,200,32,347,42,correlated,1,2075,0.189,0,0,0,0,0,4324,10,0,6
dp,200,32,347,42,correlated,2,2075,0.185,0,0,0,0,0,4324,10,0,6
dp,200,32,1739,42,correlated,0,6091,3.219,0,0,0,0,0,7780,50,0,6
dp,200,32,1739,42,correlated,1,6091,3.534,0,0,0,0,0,10268,50,0,6
dp,200,32,1739,42,correlated,2,6091,3.117,0,0,0,0,0,10268,50,0,6
dp,200,32,3130,42,correlated,0,9146,6.373,0,0,0,0,0,12004,90,0,6
dp,200,32,3130,42,correlated,1,9146,8.343,0,0,0,0,0,18076,90,0,6
dp,200,32,3130,42,correlated,2,9146,7.918,0,0,0,0,0,18084,90,0,6
dp,200,32,640,42,duplicates,0,2469,0.603,0,0,0,0,0,4128,10,100,200
dp,200,32,640,42,duplicates,1,2469,0.432,0,0,0,0,0,4664,10,100,200
dp,200,32,640,42,duplicates,2,2469,0.384,0,0,0,0,0,4668,10,100,200
dp,200,32,3200,42,duplicates,0,9928,7.078,0,0,0,0,0,12004,50,100,200
dp,200,32,3200,42,duplicates,1,9928,6.813,0,0,0,0,0,17436,50,100,200
dp,200,32,3200,42,duplicates,2,9928,6.969,0,0,0,0,0,17444,50,100,200
dp,200,32,5760,42,duplicates,0,13491,14.481,0,0,0,0,0,20236,90,100,200
dp,200,32,5760,42,duplicates,1,13491,17.486,0,0,0,0,0,33092,90,100,200
dp,200,32,5760,42,duplicates,2,13491,14.674,0,0,0,0,0,33100,90,100,200
dp,200,32,347,42,subset,0,347,0.148,0,0,0,0,0,3700,10,0,6
dp,200,32,347,42,subset,1,347,0.076,0,0,0,0,0,4016,10,0,6
dp,200,32,347,42,subset,2,347,0.084,0,0,0,0,0,4016,10,0,6
dp,200,32,1739,42,subset,0,1739,1.698,0,0,0,0,0,5824,50,0,6
dp,200,32,1739,42,subset,1,1739,1.542,0,0,0,0,0,7416,50,0,6
dp,200,32,1739,42,subset,2,1739,1.489,0,0,0,0,0,7416,50,0,6
dp,200,32,3130,42,subset,0,3130,6.793,0,0,0,0,0,12004,90,0,6
dp,200,32,3130,42,subset,1,3130,6.376,0,0,0,0,0,16540,90,0,6
dp,200,32,3130,42,subset,2,3130,6.332,0,0,0,0,0,16548,90,0,6
dp,200,32,347,42,ties,0,2429,0.155,0,0,0,0,0,3792,10,0,6
dp,200,32,347,42,ties,1,2429,0.076,0,0,0,0,0,4108,10,0,6
dp,200,32,347,42,ties,2,2429,0.083,0,0,0,0,0,4108,10,0,6
dp,200,32,1739,42,ties,0,12173,1.832,0,0,0,0,0,5732,50,0,6
dp,200,32,1739,42,ties,1,12173,1.644,0,0,0,0,0,7324,50,0,6
dp,200,32,1739,42,ties,2,12173,1.515,0,0,0,0,0,7324,50,0,6
dp,200,32,3130,42,ties,0,21910,5.532,0,0,0,0,0,11884,90,0,6
dp,200,32,3130,42,ties,1,21910,7.019,0,0,0,0,0,16420,90,0,6
dp,200,32,3130,42,ties,2,21910,6.237,0,0,0,0,0,16428,90,0,6
dp,200,32,347,42,uniform,0,3939,0.459,0,0,0,0,0,4076,10,0,6
dp,200,32,347,42,uniform,1,3939,0.348,0,0,0,0,0,4608,10,0,6
